C_ID,T_ID,Text,Completion
10,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: ???????????????????????????????????????????????????????????????????????
유저1: ㄱㄱㄱㄱ
유저2: ??????????????????
유저3: ㅏㅏ
유저3: 11??
유저4: ??
유저5: 9
유저6: You You u??deducted n bv
유저7: 여기ㅜ답글들 무섭네요
유저8: ????????ㅐㅕㅐㅠㅐㅣㅕㅅㄱ	","도배/스팸,도배/스팸,도배/스팸,중립,중립,중립,중립,중립,중립"
11,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 에핑팬아니고서는 관심도없는데 성형남주부터 듣보들이름알릴려고 실검조작에 언플오지네 그래봤자 듣보,
유저1: 수끼리30대들한테인기더많네,
유저0: 몸매봐라.허리도없고 궁디는 넙떡하게쳐져가 .화사몸매는 재앙이다..,
유저0: 남자도 마약하고 성접대하면 집행유예 나올까? ㅂ5ㅈ무죄 ㅈaz 유죄 페미헬조선개법부","중립,성희롱/혐오,성희롱/혐오,성희롱/혐오"
12,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 좌빨 아 영원히 한국을 떠나라 역시,
유저1: 무식한 개독교충들이 지들 애.비.애.미 배신하고 목사충들 말만듣고 댓글질 하고 있음,
유저1: 최고다,
유저1: ㅋㅋ짱뚱어 씹경욱. ㅈ되부렀네~🐔💩🐷,
유저1: 기냥 생긴게 위선적이네,
유저2: 왜 부인들만 불쌍해하지?여자들도 똑같이 놀거란 생각은 안하냐,
유저3: 한국의.문화 자체가 일본 표절인데 뭐,
유저4: 군대가라좀 김치들 쉴드치는거보소ㅋㅋㅋㅋㅋㅋㅋ이나라 김치년들이 군대가야하는데,
유저4: 꼭 기생오라비 간신밑 ㅇㅇ지생겨갓고 붕신짓이나하고","성희롱/혐오,성희롱/혐오,중립,욕설/비하/모욕,성희롱/혐오,중립,성희롱/혐오,욕설/비하/모욕,성희롱/혐오"
13,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 흰옷에 연탄배달 ㅋ 한번입고 버리나?,
유저1: 사람들 정말... 결혼하고 남편한테 노 한번 못하고 사는 여성들 많다 비정상적인거다,
유저1: 시람 고쳐서 쓰는거 아니라고했다...악어의눈물,
유저1: ㅋㅋㅋㅋ ㅈㄹ도 진짜 가지가지한다,
유저0: 김태호, 유재석...보고 있나?,
유저1: 아웃팅까지 시키면 천벌받아야지!!,
유저2: 지금은전라도도 등돌렸다 문빠는 거의다 중국인이란다 이거미친거지?","중립,중립,중립,욕설/비하/모욕,중립,중립,중립"
14,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 저 새끼와 전라도를 독립시켜라..,
유저1: 호진이 이슈ㅔ키 대상도 받고 마이 컸네 얌마 그래도 니 연기 아직 멀었데이 우쭐대지 말고 겸손하게 살그라 마,
유저0: 하아 생긴거 증말 개좂밥 같이 생겼네 생긴데로 처논다더니..컄 퉷,
유저1: 안그래도 와꾸 ㅈ같은데 자꾸 기사 올리지 마라,
유저1: 두분 넘 좋습니다~~~♥","욕설/비하/모욕,욕설/비하/모욕,욕설/비하/모욕,욕설/비하/모욕,중립"
15,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 가은이모님 같은 외모를 한녀들이 젤 시기질투함,
유저0: 재앙아 기독교는 너처럼 북한 빨갱이를 좋아하지않아,
유저1: 북조선인민공화국 서른살된 애새끼 따까리하는 놈하고 누가 대화하려고 하겠나?,
유저2: 도데체 이새끼 뭐가 대단하다고 논평하고 난리지 ,
유저1: 신년커플중 제일 약하다,
유저0: 예쁜데 옷은 왜케 못입 ..","성희롱/혐오,성희롱/혐오,욕설/비하/모욕,욕설/비하/모욕,중립,중립"
16,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 40대 진보대학생이 20대보고 할배라네 ㅋㅋ,
유저1: 요즘 드라마 왜그래??? 처음만 좋아하다가 점점이 별로 해졌네 ~,
유저1: ㅈㄹ도풍년이다 얘는좀 애나키우지맨날 왜나옴?","중립,중립,욕설/비하/모욕"
17,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 허허 지금 정은이가 많이 삐져있어서 달래줘야합니다. 허허 지금 바쁘니 나중에,
유저0: 저기 보면 70% 노땅세끼들이랑 30%의 일베폐미년들,
유저0: 개독교에 게이비하발언에 선동댓글까지 이새끼는 완전체 혼모노다 ㄹㅇ","중립,욕설/비하/모욕,욕설/비하/모욕"
18,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 봐라 기집들은 연예계 데뷔나 교수시켜 준다 해봐 지스스로 벗고 다닌다 근데 남자가 거부하면 개빡쳐서 성희롱으로 매도 시키고 이 나라가 여자말을 믿지 남자말을 믿겠냐,
유저1: 저런 안하무인 짱깨들 모조리 소각해서 진핑이한테 보내라,
유저1: ■ 국정원과 군산복합체는 40년 앞선 군기술로 무고한 국민들에게 민간사찰의 일부인 생각사찰을 하고 있으며 9.11테러 이후 미국의 애국법이 통과 되면서 사람의 생각을 읽는 감시 대상이 더 확대 되었다 또 국정원은 타겟이 된 피해자에게는 원격으로 매일 죽을때까지 고강도의 생체고문을 하고 있는 중이다 국정원과 부패 세력쪽 경찰들은 조직적으로 피해자의 동네나 직장에 헛소문을 유포하고 다니며 피해자를 잠재적 범죄자로 만든 후 공적 관리 시스템을 악용 해 피해자를 죽음으로 내몰고 있다 ※필독서 닉 베기치의 누가 인간을 조종하는가,
유저2: 하기싫은거 억지로 강제로 소환하면 되니?강제로 하는건 나쁜거야 나오지 말도록,
유저1: 힙합밀당녀~","성희롱/혐오,성희롱/혐오,성희롱/혐오,중립,중립"
19,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 이것도 결국 슬빵 때문에 생긴거지,
유저0: 짱개는 답글 달지마. kf94가 94%인데 99%라고? 이건 숨 못쉬고 디져.,
유저1: 희주니 머리협찬좀해주라 스탈좀 바까주라고,
유저2: 문재앙 추미애 더불당 총선심판,
유저1: 어휴 방가들...사람이니,
유저0: 웬 돼지새끼가 나서서 변호하는 데 이미...","중립,성희롱/혐오,중립,성희롱/혐오,중립,욕설/비하/모욕"
20,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 중국인금지시켜서 뭐해 지금도 중국다녀온 한국인들이 퍼뜨리고 있는데ㅠㅜ,
유저1: 진짜 할 말 없는것들이 더떠드네,
유저1: 촌스러운 화장과 써클렌즈,
유저0: 경기침체는 자한당만 경기침체인듯ㅋㅋ,
유저1: 안궁금한데.. 톱스타 연애도 궁금할까 말까인데....,
유저0: 우리 엄마가 제가 윤두준 님 보다 잘생겻다 하셧어요,
유저1: 좌파들만을 위한 서울시장,
유저0: 빠순이 머가리똥찬년들아 밀양은 화제사건으로 30명 사상자들은 안중에도없고 접촉사고난 니네 오빠들만 관심있지?? 에라이 모지란년들아 ㅉㅉ","중립,중립,중립,성희롱/혐오,중립,중립,성희롱/혐오,욕설/비하/모욕"
21,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 어린이용,
유저1: 하... 여자로 태어났어야 하는건데","중립,중립"
22,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 음원 점수 꼬라지 보소?,
유저0: 친일에 자손이 뭐가좋다고.,
유저1: 문정권~~ 싫어진다 ~~ 중년층 아예외면 하구만 ~~어린아이 청년 여자들만 좋아해,
유저0: 결혼 브로커,
유저1: 백종원 장사 철학 못들었냐? 이윤이 오르면 가격은 동일하게 가고 재료를 더 추가해서 소비자와 이윤을 나눈다는게 백종원 장사 철학이다. 그러니까 장사가 잘되고 잘된만큼 양도 늘어나지. 다른 가게들도 본받아야 할 점. ㅇㅇ","중립,중립,중립,중립,중립"
23,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 뭐야 포스터 좀비가...,
유저0: 틀딱들이 방구석에서 암만 악플 달아봐야...ㅋㅋ 현실은 한미외교 성공적^^","중립,성희롱/혐오"
24,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 절대 몬하제? 돼지한테 어떻게 개라하노?,
유저0: 여기 댓글에 성형이야기가 많아서 네이버에 박민영 성형전 이라쳐보고 기겁했다ㅜ;;;;,
유저1: 다들 보고서 욕하기는ㅋㅋ 난 재미지게 봤다ㅋㅋ 시청률도 잘나왔어ㅋㅋ,
유저0: 돼지가 조국이지키라고 명령했네. 문돼지는 그냥 돼지밖에모른다,
유저2: 그만큼전소민이성격도좋고인성이됐으니까 주위에서많이챙기는거겠지,
유저0: ㅋ.ㅋ 기사제목 봐라. 단순.무식한 나이값 못하는 애들 몰려오게 하는소리네~ ~,
유저2: 가비앤 제이가 왜이렇게 늙었음? 장희영은 또 누구임?","성희롱/혐오,성희롱/혐오,중립,성희롱/혐오,중립,성희롱/혐오,중립"
25,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 가난한것보단 부모가 av배우 출신인 게 낫다,
유저0: 노란 리본 으로 발랑 까진 년 아니가 안보고 싶다안 나와도 된다 니보다 예쁜 여배우 많다푹 쉬어라","중립,욕설/비하/모욕"
26,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: OOO 마흔 쳐머근게 20대보구 틀딲이란다. ㅋㅋ,
유저1: 신화팬들 악질이었는데.2002년 장나라 대상탈 때 sm에서 로비했다고 막무가네로 허위사실 주장하고 언론내고 난리도 아니었는데. 원래 질이 떨어지는게 신화팬들.,
유저0: 젊은년이 정신 좀 차리고 살저,
유저0: 어떤 변명으로도 설득력없다. 간과 쓸개를 오고가는 정당. 20 대들이여 생각하라~!,
유저1: 폐지하기엔 아까운 프로인데... 일베 찾아서 자르기가 그렇게 힘듦? 뭐, 편집을 예능국장이 하기라도 했어? 한창 상한가인 프로가 왜 폐지로 바로 이어지는거지..?,
유저2: 신격화하는 독재체제인데 권한대행을 할 정도면 돼지색기 목숨줄이 진짜 간당간당 한가보네,
유저1: 우앗 ㅎ 축하해요~울 아들도 7일생 입니다 ㅎㅎ,
유저1: 아 이런 병X같은기사는 좀 안올라오면 안되냐??,
유저2: 줌마돌ㅋ","성희롱/혐오,중립,욕설/비하/모욕,중립,중립,욕설/비하/모욕,중립,욕설/비하/모욕,성희롱/혐오"
27,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 우리나라 최고의 명배우...또 하나의 별이 이렇게 지네요..마녀사냥은 정말 무서운겁니다.,
유저0: 그냥 임명하기 문재앙 어휴 ㄱ ㅐ ㅅ ㅣ ㅋ,
유저0: 세금도둑 문재앙,
유저0: 지가 뭐라도 되는 양 가오잡고 연습생들한테 막말할 때부터 비호감이었음,
유저0: 웬 꽃돼지 한마리가 ㅋㅋㅋㅋㅋ 남자다 진짜 아깝다,
유저1: 일반인얼굴,
유저1: OOO 애ㅡ비없는새끼인가 남자는 때려도 되냐?,
유저1: 반대로 남자가 3번이나 저랬다면 변태 싸이코에 신고각. ㅋㅋㅋㅋㅋㅋㅋ","중립,욕설/비하/모욕,성희롱/혐오,중립,중립,중립,욕설/비하/모욕,성희롱/혐오"
